97	;0.999985	;-3.04202e-06	;0.312517
98	;0.999985	;-3.04202e-06	;0.312517
99	;0.999985	;-3.04202e-06	;0.312517
100	;0.999985	;-3.04202e-06	;0.312517
101	;0.999985	;-3.04202e-06	;0.312517
102	;0.999985	;-3.04202e-06	;0.312517
103	;0.999985	;-3.04202e-06	;0.312517
104	;0.999985	;-3.04202e-06	;0.312517
105	;0.999985	;-3.04202e-06	;0.312517
106	;0.999985	;-3.04202e-06	;0.312517
107	;0.999985	;-3.04202e-06	;0.312517
108	;0.999985	;-3.04202e-06	;0.312517
109	;0.999985	;-3.04202e-06	;0.312517
110	;0.999985	;-3.04202e-06	;0.312517
111	;0.999985	;-3.04202e-06	;0.312517
112	;0.999985	;-3.04202e-06	;0.312517
113	;0.999985	;-3.04202e-06	;0.312517
114	;0.999985	;-3.04202e-06	;0.312517
115	;0.999985	;-3.04202e-06	;0.312517
116	;0.999985	;-3.04202e-06	;0.312517
117	;0.999985	;-3.04202e-06	;0.312517
118	;0.999985	;-3.04202e-06	;0.312517
119	;0.999985	;-3.04202e-06	;0.312517
120	;0.999985	;-3.04202e-06	;0.312517
121	;0.999985	;-3.04202e-06	;0.312517
122	;0.999985	;-3.04202e-06	;0.312517
123	;0.999985	;-3.04202e-06	;0.312517
124	;0.999985	;-3.04202e-06	;0.312517
125	;0.999985	;-3.04202e-06	;0.312517
126	;0.999985	;-3.04202e-06	;0.312517
127	;0.999985	;-3.04202e-06	;0.312517
128	;0.999985	;-3.04202e-06	;0.312517
129	;0.999985	;-3.04202e-06	;0.312517
130	;0.999985	;-3.04202e-06	;0.312517
131	;0.999985	;-3.04202e-06	;0.312517
132	;0.999985	;-3.04202e-06	;0.312517
133	;0.999985	;-3.04202e-06	;0.312517
134	;0.999985	;-3.04202e-06	;0.312517
135	;0.999985	;-3.04202e-06	;0.312517
136	;0.999985	;-3.04202e-06	;0.312517
137	;0.999985	;-3.04202e-06	;0.312517
138	;0.999985	;-3.04202e-06	;0.312517
139	;0.999985	;-3.04202e-06	;0.312517
140	;0.999985	;-3.04202e-06	;0.312517
141	;0.999985	;-3.04202e-06	;0.312517
142	;0.999985	;-3.04202e-06	;0.312517
143	;0.999985	;-3.04202e-06	;0.312517
144	;0.999985	;-3.04202e-06	;0.312517
145	;0.999985	;-3.04202e-06	;0.312517
146	;0.999985	;-3.04202e-06	;0.312517
147	;0.999985	;-3.04202e-06	;0.312517
148	;0.999985	;-3.04202e-06	;0.312517
149	;0.999985	;-3.04202e-06	;0.312517
150	;0.999985	;-3.04202e-06	;0.312517

1	;0.632266	;-0.277775	;1.11891
2	;0.825066	;-0.114556	;0.598177
3	;0.919505	;0.0398871	;0.381793
4	;0.93677	;0.0506089	;0.358013
5	;0.934377	;0.0603023	;0.357308
6	;0.948927	;0.0401045	;0.348416
7	;0.980301	;0.00183393	;0.331676
8	;0.979518	;0.00547082	;0.330711
9	;0.987767	;0.00681085	;0.321547
10	;0.990027	;0.00970832	;0.317858
11	;0.993251	;0.00639456	;0.316158
12	;0.995989	;0.00119306	;0.315932
13	;0.995989	;0.00119306	;0.315932
14	;0.998439	;-0.000685326	;0.314407
15	;0.998917	;-0.000805358	;0.313988
16	;0.998917	;-0.000805358	;0.313988
17	;0.998917	;-0.000805358	;0.313988
18	;0.998917	;-0.000805358	;0.313988
19	;0.998917	;-0.000805358	;0.313988
20	;0.998917	;-0.000805358	;0.313988
21	;0.998917	;-0.000805358	;0.313988
22	;0.998917	;-0.000805358	;0.313988
23	;0.998917	;-0.000805358	;0.313988
24	;0.998917	;-0.000805358	;0.313988
25	;0.998917	;-0.000805358	;0.313988
26	;0.998917	;-0.000805358	;0.313988
27	;0.998917	;-0.000805358	;0.313988
28	;0.998739	;0.000689244	;0.313419
29	;0.998739	;0.000689244	;0.313419
30	;0.998739	;0.000689244	;0.313419
31	;0.998739	;0.000689244	;0.313419
32	;0.998739	;0.000689244	;0.313419
33	;0.998739	;0.000689244	;0.313419
34	;0.998739	;0.000689244	;0.313419
35	;0.998739	;0.000689244	;0.313419
36	;0.998739	;0.000689244	;0.313419
37	;0.998734	;0.000917642	;0.31331
